ID,Like,Comment
             no pain yes gain           ,117.0,짬뽕라면 진짬뽕으로 옮깁니다. 화사가 먹으면 뭐든지 개땡김
             MNZ ML           ,85.0,헐 화사가 모델임? 정말 광고계의 블루칩이다ㅋㅋㅋㅋㅋㅋㅋ 사먹어봐야지...
             도레미파솔라시도           ,30.0,면치기 할때 치는것은 면이 아니라 내 심장이여...... 우리 대슈스 지니 라면광고 진출 축하해
             asdf           ,45.0,와 진짜 광고 보기만 해도 진짬뽕의 맛이 느껴지는데? 모델 선정 제대로 했네ㄷㄷ 마마무 화사 대박 이제 진짬뽕 겁나게 많이 먹을듯 ㄷㄷㄷㄷ
             얄라리           ,19.0,응..살게.. 진짬뽕이든 해물짱뽕이든 굴진짬뽕이든 다 살게.... 뭔들 못하리..
             M Camelot           ,28.0,I'm starving and I just ate dinner. Her power.
             있잖아           ,36.0,미쳤네 진짜 돌았네 진짬뽕 처돌이었는데 앞으로 진짬뽕만 파야겠다ㅜㅜㅜㅠㅜㅡㅡㅠㅜㅜㅜ 미춌네ㅠ푸ㅠㅜㅜㅠㅠ 오뚜기 사랑해요ㅠㅠㅠㅠ
             HaRing           ,51.0,대박. 화사 면치기..👍 진짬뽕 사러 갑니다.
             박미영           ,51.0,공.식.선.언.한다 앞으로 나한테 라면은 진짬뽕하나다 ㅋ
             오어           ,25.0,대박ㅋㅋㅋㅋ이건또언제찍은거얔ㅋㅋ내일 진짬뽕 사갑니다
             S L           ,30.0,It's 2:47am here and hwasa is making me hungry. 😭😭😭😭
             김민서           ,25.0,헐 혜진 모델이야??? 새벽에 괜히 봤어 어떡해ㅠㅠㅠㅠㅠㅠ
             해루빙           ,19.0,혜진이 진심 너무 맛있게 먹는뎈ㅋㅋㅋㅋㅋㅋㅋㅋ 와 오뚜기 사람 보는 눈 굿굿굿~ :-)
             라로로           ,16.0,"광고계의 블루칩, 그녀의 행보는 어디까지인것인가."
             u S           ,20.0,"갓뚜기가 선택한 갓화사, 그리고 그녀의 선택은 진짬뽕 먹으러갑니다"
             o a           ,15.0,저 원래 진짬뽕처돌이였어요 그니까 내말은 오뚜기 사랑한다고
             Orenji           ,17.0,Wait for that sold out headline soonTM 😂
             휜화           ,13.0,왜 이제야 알았지 나온거ㅜㅜ 넘좋다....목소리....
             Deep Blue           ,8.0,사랑해요 화사❤ 사랑해요 오뚜기❤역시 짬뽕은 오뚜기지! 외쳐 갓뚜기!
             giulia 0619           ,10.0,Queen hwasa
             Jo Casimiro           ,12.0,i just want to buy everything she's in🥰🥰
             얌얌굿           ,7.0,헐 나 안혜진처돌 오늘부터 진짬뽕만 먹는다
             flower_jiny           ,12.0,헐미친 진라면 사랑해여유유유듀듀듀뉴뉴ㅠ뉴뉸 진매에서 진짬뽕 갈아탄다
             Marsh           ,8.0,I WANT I WANT I WANT why does she make everything look so good TT
             Oliver           ,8.0,QUEEN HWASA 👑I LOVE YOU OTTOGI ❤
             aurelia aurita           ,8.0,Im taking orders for this ramen. Anyone?
             biclexual           ,9.0,"Wahhh, that slurping making me hungry"
             jovie 4color           ,10.0,Now I'm hungry. I'll get my self one.
             00M0v0M00           ,7.0,Just take my money queen Hwasa ❤😏😎
             aggi maria           ,6.0,"Omg that wink at the last was the most perfect wink I've ever seen ,my queen"
             amazonz           ,8.0,Why so beautiful babe? 😍😍😍😍😍😍 I will buy it all just to support you ❤️
             moos           ,4.0,"I literally just ate noodles and now I'm craving for more. Indeed, her power."
             디디           ,8.0,귀여워ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
             jin           ,6.0,진짬뽕 먹어봐야겠다 역시 갓뚜기
             Dani Mawac           ,5.0,Just woke up and watched this. Now I'm eating jjamppong too 😆
             JohnnyVVlog           ,5.0,Just had dinner but I'm suddenly hungry again...
             hyemomyong           ,4.0,That's it... i'm changing my ramyeon stack
             grapes           ,5.0,Ahh now I really want some of that 😭
             Yong-tle           ,5.0,oh wow i'm so tempted to buy this 😭😭 hwasa you made me hungry
             Amanee Syed           ,4.0,you need to sell this outside of korea. im so hungry
             shirley           ,3.0,"..... AMAZING. A MASTERPIECE. SHE'S PERFECT, WHERE CAN I BUY ONE."
             은정이           ,6.0,2015 진짬뽕: 황정민 어디서 시켰어~?2016 볶음 진짬뽕:정상훈 어띠 써-씨 켜썰레yee~~?2020 NEW 진짬뽕:화사 미.쳤.다ㅎ
             Lucky           ,3.0,How can her eating be so beautiful!
             Chinsy Mejares           ,3.0,This looks so good 🤤
             분휘기           ,4.0,아.......... 혜지나....... 나 다이어트중인데 라면광고를 이렇게 찍으면 어떡해ㅠㅠ 이 언니 세상 혼자살아........ 이쁘고 치명적이고 귀엽고 다 해💜
             문효빈           ,4.0,진짬뽕 광고가 이렇게 느낌있어도 되나여ㅠㅠ
             Y Sim           ,8.0,이제 이분도 진뽕명뽕 lll에 희생 되는 것인가?
             안명은           ,7.0,이 영상은 곧 진짬뽕짬의 소스로 쓰이게 되겠지
             베비 (Beby)           ,9.0,화사 너무 예쁘다 !! 전 오늘부터 진짬뽕만 먹습니다.
             일그러진둘리           ,8.0,여유만만한태 먹힐거임 ㅋㅋㅋ
             윪담           ,2.0,와 진짜 미쳤다.. 뭐야 왤케 더 맛나보이냐고ㅜㅜ 밥 늦게 먹었는데 또 배고파;;;
             김흐헤           ,5.0,아니 광고 자체가 화사한테 찰떡인 시나리오로 짰는데요???!!! 진짜 최고로 어울리고 자연스럽고 와 이럴 수가 있나??😆😆 앞으로 진짬뽕만 사먹을 노예 구함(1/nnnnnnn)
             구독자몇명찍기같은것좀그만쳐해           ,3.0,???: 어디서 시켰썽?~~
             Yannie Kassandra           ,3.0,ㅠㅠ혜진아 왜 이렇게 잘먹어~ 진짜 배고프다ㅠㅠ
             계절봄여름가을겨울           ,4.0,조만간 ‘황정민’ 당할까봐 걱정된다.
             아서스           ,4.0,이제 곧 여유만만의 마수가....
             진원           ,4.0,0:19 원본에 충실하군요
             Blackbuck           ,5.0,새로운 합성소스가 될것 같다…
             자이언트펭수           ,5.0,화사가 먹으면 진짬뽕이라한다
             대학생너구리           ,6.0,다음 타겟인가...
             바람불어와           ,7.0,오뚜기 사랑합니다♥
             Melvin Nesta           ,3.0,"Do you ship internationally? Please, i want it so bad"
             r a n d y           ,2.0,Now i want one! 😭
             남양주 위닝중독김프로           ,4.0,화사 먹방 신의 한수다 ㅋㅋ
             덩기덕           ,2.0,여유만만님 시즌3 작업 들어 가셔야죠ㅎㅎ 이번에 화사 누나 나오는 건가요?
             봄과일           ,8.0,일단 진짬뽕 사러 갑니다 오뚜기 사랑해요
             alexandra I'm bad too           ,2.0,Ohhh I like it just by watching Hwasa eat it
             Cici Aliyah           ,2.0,She looks so beautiful
             무시골무무           ,4.0,이제부터 라면은 갓뚜기꺼ㅎㅎㅎ
             our4계절           ,7.0,진짬뽕 사러갑니다
             똑소라tv           ,1.0,화사는 뭔가 연기가 아니라 진짜 맛있는거같아ㅜㅜ
             과자깡           ,6.0,이것도 소스로 쓰일것이다
             금빛매직의 만화세상           ,4.0,오뚜기 뽀!끔!진!짬!뽕러!
             킹오브팝           ,3.0,라면도 이제 왼손으로 먹어야 하나..더 맛있게보이네..ㅋㅋ
             oh seongwuk           ,2.0,이세상라면 중에 진짬뽕이 젤 맛있음
             봄과일           ,5.0,빛 갓 뽕 앞으로 오뚜기 라면만 먹겠습니다 빛뚜기 사랑해요!!!!!!!!!!
             이윤서           ,1.0,화사 광고 티비로 보고 급땡겨서 지금 진짬뽕 사먹는중ㅋㅋㅋㅋㅋㄱㄱㅋㄱㅋㅋㅋㅋ
             Moo Han           ,2.0,Queen of mukbang 😍
             Ty Daniels           ,2.0,Now. Im hungry. Where can I buy one
             j미ᄅ           ,3.0,여유만만 형 이것도 할거라고 믿어 ㅎ
             화사한혜진아           ,1.0,화사 너무 좋아❤ 화사 덕분에 요즘 라면 먹으면 진짬뽕이나 굴진짬뽕만 먹는듯ㅋㅋㅋ
             서수즨즨즨           ,2.0,와 진짬뽕 좋아하는데 더 좋아하는 화사언니가 모델이네 진짬뽕 한박스 주문하러 가겠슴미다...
             마크복돌러YT메타톤TV BJ DJ 양띵도티악어 PPAP           ,2.0,이영상을 황정민이싫어합니다
             영첸           ,0.0,아 방금 이거보고 화사한테 ㅈㄴ게 반함ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
             꺼미           ,3.0,황정민 썼어도 재밌었을듯
             간간           ,2.0,아 미친 진짬뽕 사러갑니다
             언제까지 너 모른 척 할 거니           ,0.0,"왜(Keep Your Head Down) 이제 봤지 내일 진짬뽕 사러 갑니다,,"
             꺼미           ,9.0,맛있다 진짬뽕~
             힝행홍           ,4.0,이분도 소스로 사용될지도...음
             보현           ,2.0,이제 진짬뽕만 먹습니다.
             킷캣           ,1.0,황정민때가 가장 좋았던것같다(개인생각)
             ᄋᄉᄋ           ,0.0,'뽕' 발음 왤케 중독적이냐 ㄷㄷㄷㄷㄷㄷㄷㄷㄷ
             입킷 ipkit           ,0.0,찐텐으로 먹는거 같은데 ㅋㅋㅋ?ㅋㅋㅋㅋㅋㅋ 좋다
             mari cndl           ,2.0,Hwasa facial expressions...wow
             고기먹자           ,0.0,광고보고 진짬뽕 사왔습니다..^^ 역시 화사
             ᄋ_ᄋ           ,0.0,광고랑 넘 잘 어울림ㅜㅜㅜㅜㅜ
             안도풀           ,1.0,아녜젠 ㅜㅜㅜ
             쉐킷           ,2.0,진뽕명뽕 3제작해야겠네
             jy seo           ,3.0,갓혜진x갓뚜기
             Gui           ,4.0,진 짬 뽕
             Hwang JungSU           ,0.0,헐 똥 맛 날꺼같다 ㅋㅋㅋ
             크로우           ,1.0,보자마자 땡겨가꼬 마트가서 사왔자너...^^ 집에있는 냉동새우 넣어서 조져야지...혼내줄꼬얌
             이현경           ,1.0,방금 먹어봤는데 리뉴얼 전이 더 맛있었어요..바뀐거에서는  해물향인지  미묘하게 시큼한 향이 계속 올라와요.. 다시 돌려주세요ㅠㅠㅠ
             탱크맨전두환           ,3.0,여유만만님 각?
             A k           ,0.0,화사가 먹으니까 너무 맛있어보이잖아..❤
             ˇ호잇           ,0.0,내 최애 진짬뽕^!^
             Yueun Hong           ,4.0,화사❤❤❤❤❤❤
             용과           ,5.0,저 원래 진짬뽕에 립톤 뿌려서 킬바사 소세지 찍어먹는데.. 모르셨구나ㅎㅎ
             Check Out Late           ,0.0,짬뽕 좋아하는데 집에서 비슷한 맛으로 먹기에 딱 진짬뽕임 !! 인정
             JAYHOOI [GD]           ,1.0,황정민이 갑이었는데...
             Moonbyuls flat ass           ,1.0,Looks like I’m buying noodles tonight 🏃‍♀️
             Sas- K           ,0.0,최자 테이 화사 에 한명 추가해서 가수판 맛있는 녀석들해도 괜찮겠다
             강은빈           ,0.0,진짜맛있게먹는다화사 ㅠ
             크로브           ,2.0,황정민 돌려내
             ina moomoo           ,4.0,I'm hungry😭😭
             이름없음           ,0.0,오늘부터 진짬뽕만 파겠습니다
             gdd og           ,2.0,이제 합성소스 됨 ㅅㄱ
