ID,Comment,Like
             Ly Ly           ,"Everyday we're getting closer to 700M, but the gap is also getting smaller.. BLINKS stre4m harder!!!",    2.5천  
             Anh Lan           ,Lisa,    9.5천  
             Fresrit Gaming           ,Jisooo,    4.9만  
             Wss 16           ,Jisoo,    5.3만  
             b o i           ,"I swear Lisa is such a bias wrecker,her rap tho-",    9.3천  
             Elizabeth Forero           ,Vote for BLACKPINK MAMA SOTY.,    6.1천  
             Alwin Malonzo           ,Lisa- FIREJennie- FABRose- FIERCEJisoo- FANCY,    3.7만  
             yacine sg           ,ROSÉ I LOVE YOU,    5.9만  
             Misa Mu           ,"If you're a hater, go away! We are all looking for love and positivity.",    7.1천  
             KookieDreamer           ,"Lisa/Jennie: Look at you, now look at meme: insecurities have entered the chat",    4.5만  
             Lamismamayelin05 Suazo           ,VOTE FOR BLACKPINK MAMA SOTY,    8.8천  
             Veeresh Kiccha           ,Jisoooo,    2.2만  
             Majalisil Ni'matul B           ,KIM JISOOKIM JENNIEPARK CHAEYOUNGLALISAWE LOVE YOU,    1.2만  
             shaima Alkatheeri           ,Jisoo voice,    3.4천  
             BlinkTeumeArmy A           ,Rose proved she’s the main vocal 0:28-0:41,    9.4천  
             Kim Jeon           ,If blackpink wins it will be the best gift for blinks and to them blackpink!,    1.1천  
             Wirsta Nugraha           ,Lisa and Jennie : Look at you now look at meMe: quickly grab a mirror,    2.3만  
             diana carcamo           ,“Laugh all you want while you still can” YASSSS B!!!,    6.8천  
             Kulsum Nagori           ,"For new blinks who don't know,Blue Girl - Rosé QueenBrown Girl - Jisoo QueenBlonde Girl - Jennie QueenBlack/pink Girl - Lisa Queen.Hope this helps u.",    3.1만  
             Introvert Hub           ,ATAY YAWA NG BALIK BALIK NA COMMENT PISTE. DI MAN LAMAN TA KITAG TARONG NA COMMENT. Edit: YAWA JUD DIAY! SALAMAT SA LIKES. BTW NAG KAON NAKA? AYEEEEUT HAHAHAHAHAHA,    1.4만  
             Chu Chu           ,"Jisoo is so gorgeous, I am obssesed with her",    4.2만  
             adinda naura           ,JISOO,    1.4만  
             BlinkTeumeArmy A           ,Jisoo is cool and her singing is amazing,    3.7만  
             NEOCITY           ,this song was so good the music video was bomb blackpink never fails to impress me with every song EDIT: omg thank you for the likes,    2.6만  
             Joshua Ochoa           ,"HELLO POTA MAG 12 NA NG MADALING ARAW, PERO STREAM PADIN MGA PEPE!!EDIT: 1:30AM NA HAHAHHAHA WALANG MATUTULOG!!! STREAM STREAM LANG. TAGAL NATIN TO INANTAY. LEZGO MGA PEPE!!! HAHAHAHHAEDIT: 2:20AM NA, WALANG MATUTULOG PH BLINKS, ANO BA NAMAN ANG 1 DAY NA PAG PUPUYAT SA 1 YEAR NATING PAG INTAY SA COMEBACK NILA! LEZGOOOO STREAM!EDIT: 2:46AM NA, MALAPIT NA MAG 50 MILLION!! STREAM STREAM BLINKS!!!EDIT: 2:54AM, NAKA FREEZE ANG VIEWS PUNYETA YOUTUBE!!!EDIT: 3:04AM, NAKA FREEZE PADIN ANG VIEWS!! KANINA PA SANA NATIN NA ACHIEVE ANG 50 MILLION HNNNG YOUTUBE!!4:20AM: 50 MILLION NA GUYSSSSS! KSAJAHFG. PERO WAG MUNA TAYO TAMARIN, GAWIN NATING 80 MILLION!2:40PM: WE CAN REACH 80M!!! FIGHTING!! Malaki pa oras  2Hrs and 20Min!!WE DID IT GUYSSSS!!! 80 MILLION VIEWS!!",    1.5만  
             Sara\ Pandi           ,Blackpink is art,    4.4천  
             Andrei Williams           ,#PARTYSTR3AMFORBLACKPINKC'MON BLINKS!!!!!,    442  
             akulipia           ,buru blink indo mari ramaikan komen,    1.3만  
             BlueFox C I N G           ,"They killed it! My favourite moments:- Kim Jisoo, just Kim Jisoo- Rosé's background in the beginning was just so    wow- Lisa's rap. Didn't know but I needed it- Jennie's outfit. No need to more- ""I kiss you goodbye"" , ""Badabim badaboum boum boum"" ""Now look at u now look at me""- 2:22- 2:32- 2:41What are youre favourite moments ?Edit: omg I didn't expected that much like, thank you so much!",    3.1만  
             First name Last name           ,Just keep on hating. It'll never change the fact that Blackpink is the queen.,    4.5만  
             Name Newest           ,Jisoo so beautiful.,    7.4천  
             Nicole Angulo           ,"VOTEN POR BLACKPINK EN LOS MAMA 2020 EN LAS CATEGORÍAS NOMINADAS, VAMOS!!!",    275  
             ปฏิภาณ รุกขะวัฒน์           ,We love BLACKPINK!,    2.4만  
             Ruby H.           ,Kim Jisoo nailed it,    2.1만  
             Haechannie           ,We have to drown the annoying “no one:” jokes with other comments                 Edit: since this has 1k thumbs up let me tell you to have a safe and good day blinks :),    10만  
             its BP           ,BLACKPINK SUPERGROUP,    3.2만  
             RM•• BTS           ,Popular opinion: Everyone wants to SEE BLACKPINK in real life .,    1.9천  
             Simp4lisaandtaeyong           ,BLACKPINK REALLY KILLED EVERYONE ENDED KPOP DOMINATED THE WORLD AND SAID LOOK AT YOU NOW LOOK AT ME,    1.2만  
             cinta safitri           ,LALISA CLEOPATRA MANOBAN ..EY,    3.4만  
             amel lubis           ,JISOO❤️JENNIE❤️ROSE❤️LISA❤️,    5.5천  
             elsa cazenave           ,2016= Boombayah2017=  As If Its Your Last 2018 = Ddu Du Ddu2019 = Kill This Love2020 = How You Like That   BLACKPINK IN YOUR AREA,    7.3만  
             Internet f4iry           ,BRUH they all slayed but Lisa can gladly drag me by my wig,    1.8만  
             Erica Cassandra Pawig           ,"PLAYING WITH FIRE: Look at me, look at me nowKILL THIS LOVE: Look at me, look at youHOW YOU LIKE THAT: Look at you, now look at meEDIT: VOTE BLACKPINK ON MAMA",    4.8천  
             Rhode Xerxes Dulalas           ,"If BLACKPINK will attend MAMA, it will be a bomb.",    3.5천  
             Nintendo DS.           ,They actually look like they’re having funEdit:thank you guys so much for so many  likes I really appreciate it,    1.6만  
             นันท์นภัส มองเคน           ,Jisoo,    4.4천  
             STAN BLACKPINK           ,"IT'S NOT BLACKPINK, IT'S SUPER BLACKPINK WITH A STRONG BLINKS.",    644  
             ArmyBlink           ,KIM JISOOKIM JENNIEPARK CHAEYOUNGLALISABLACKPINK,    305  
             Kascha James           ,My 4 year old son loves this song so much. He calls this song “the scary one” LOL,    1.1만  
             Fluttershy Sparkle           ,Preciosas uwu,    739  
             Georgie George           ,Whoever read this comment...I hope you will be succesful like this BlackPink group and have a nice day!,    5.5만  
             Rifki Dhio           ,NOT JISOO ERANOT JENNIE ERANOT ROSÉ ERANOT LISA ERAITS JUST BLACKPINK ERA,    6.7만  
             Alyanna Hill           ,"Oke, BLACKPINK IN YOUR AREA! LUVV U",    2.3만  
             hirelia hirelia           ,Lalalisa Manoban is dance queen,    1.1천  
             kha nguyen           ,please vote for BLACKPINK,    725  
             Bora Shin           ,Blackpink:Rose!Jisoo!Jennie!Lisa!They are so pretty!,    2.3만  
             Roselle           ,A fan's reflection based on their idols. Hope they'll be proud of you all. I love you,    1.7만  
             하지마오윤서           ,Let’s appreciate how lit this song is this song went hard,    2만  
             Naz Polat           ,"Lisa once said ""Yadom""""Choclatte noodle""""Luis is fat cat""""Ehehe""""More feel""""My name is jichu""""Omg daddy""""Aa park chayeong""""I'm the hottest okay?""turk¡sh blink",    574  
             maengay mercadejas           ,"I really like this song, BLACKPINK didn't disappoint us!!",    12만  
             Panrudee Nakphuk           ,Lisaaa,    4.3천  
             Loona Del Rey           ,"I want to be that donkey, so I can at least get to meet Lisa",    2.1만  
             Δήμητρα Βλαχονικόλα           ,"The outfits, the visuals, the hairstyles, the choreography, everything about this video is just absolutely perfect, I feel that 2020 is their year guys. I mean imagine how the studio album will be if this is just the pre-release single !!",    6.3만  
             Kim Jeon           ,Funfact: HYLT DANCE PERFORMACE is acting like an mv.,    867  
             BlinkTeumeArmy A           ,"Lisa’s rap is so coolBy the way blinks let’s vote on Choeaedol  app for Blackpink. Watch ads, collect hearts and vote.:) The voting had begun 14th Oct. We still have loads of time so please make an account and start voting. Thank you :)",    2.7만  
             Rain K           ,THIS SONG SLAPPED PERIOD. LOOK AT U NOW LOOK AT ME This is my first comeback with Blackpink and I am BEYOND satisfied,    2.2만  
             Az-Zahra _K           ,"""Laugh all you want while you still can"" because one day you will be mute with the hatred you have  ;)It's for the haters ^>^",    2.3만  
             Not Rosie But Roseanne           ,People be like commenting about STOP SPAMMING and me is here in my bed enjoying the HYLT and appreciating each QUEENS,    3.5만  
