ID,Like,Comment
             Ly Ly           ,2500.0,"Everyday we're getting closer to 700M, but the gap is also getting smaller.. BLINKS stre4m harder!!!"
             Anh Lan           ,9500.0,Lisa
             Fresrit Gaming           ,49000.0,Jisooo
             Wss 16           ,53000.0,Jisoo
             b o i           ,9300.0,"I swear Lisa is such a bias wrecker,her rap tho-"
             Elizabeth Forero           ,6100.0,Vote for BLACKPINK MAMA SOTY.
             Alwin Malonzo           ,37000.0,Lisa- FIREJennie- FABRose- FIERCEJisoo- FANCY
             yacine sg           ,59000.0,ROSÉ I LOVE YOU
             Misa Mu           ,7100.0,"If you're a hater, go away! We are all looking for love and positivity."
             KookieDreamer           ,45000.0,"Lisa/Jennie: Look at you, now look at meme: insecurities have entered the chat"
             Lamismamayelin05 Suazo           ,8800.0,VOTE FOR BLACKPINK MAMA SOTY
             Veeresh Kiccha           ,22000.0,Jisoooo
             Majalisil Ni'matul B           ,12000.0,KIM JISOOKIM JENNIEPARK CHAEYOUNGLALISAWE LOVE YOU
             shaima Alkatheeri           ,3400.0,Jisoo voice
             BlinkTeumeArmy A           ,9400.0,Rose proved she’s the main vocal 0:28-0:41
             Kim Jeon           ,1100.0,If blackpink wins it will be the best gift for blinks and to them blackpink!
             Wirsta Nugraha           ,23000.0,Lisa and Jennie : Look at you now look at meMe: quickly grab a mirror
             diana carcamo           ,6800.0,“Laugh all you want while you still can” YASSSS B!!!
             Kulsum Nagori           ,31000.0,"For new blinks who don't know,Blue Girl - Rosé QueenBrown Girl - Jisoo QueenBlonde Girl - Jennie QueenBlack/pink Girl - Lisa Queen.Hope this helps u."
             Introvert Hub           ,14000.0,ATAY YAWA NG BALIK BALIK NA COMMENT PISTE. DI MAN LAMAN TA KITAG TARONG NA COMMENT. Edit: YAWA JUD DIAY! SALAMAT SA LIKES. BTW NAG KAON NAKA? AYEEEEUT HAHAHAHAHAHA
             Chu Chu           ,42000.0,"Jisoo is so gorgeous, I am obssesed with her"
             adinda naura           ,14000.0,JISOO
             BlinkTeumeArmy A           ,37000.0,Jisoo is cool and her singing is amazing
             NEOCITY           ,26000.0,this song was so good the music video was bomb blackpink never fails to impress me with every song EDIT: omg thank you for the likes
             Joshua Ochoa           ,15000.0,"HELLO POTA MAG 12 NA NG MADALING ARAW, PERO STREAM PADIN MGA PEPE!!EDIT: 1:30AM NA HAHAHHAHA WALANG MATUTULOG!!! STREAM STREAM LANG. TAGAL NATIN TO INANTAY. LEZGO MGA PEPE!!! HAHAHAHHAEDIT: 2:20AM NA, WALANG MATUTULOG PH BLINKS, ANO BA NAMAN ANG 1 DAY NA PAG PUPUYAT SA 1 YEAR NATING PAG INTAY SA COMEBACK NILA! LEZGOOOO STREAM!EDIT: 2:46AM NA, MALAPIT NA MAG 50 MILLION!! STREAM STREAM BLINKS!!!EDIT: 2:54AM, NAKA FREEZE ANG VIEWS PUNYETA YOUTUBE!!!EDIT: 3:04AM, NAKA FREEZE PADIN ANG VIEWS!! KANINA PA SANA NATIN NA ACHIEVE ANG 50 MILLION HNNNG YOUTUBE!!4:20AM: 50 MILLION NA GUYSSSSS! KSAJAHFG. PERO WAG MUNA TAYO TAMARIN, GAWIN NATING 80 MILLION!2:40PM: WE CAN REACH 80M!!! FIGHTING!! Malaki pa oras  2Hrs and 20Min!!WE DID IT GUYSSSS!!! 80 MILLION VIEWS!!"
             Sara\ Pandi           ,4400.0,Blackpink is art
             Andrei Williams           ,442.0,#PARTYSTR3AMFORBLACKPINKC'MON BLINKS!!!!!
             akulipia           ,13000.0,buru blink indo mari ramaikan komen
             BlueFox C I N G           ,31000.0,"They killed it! My favourite moments:- Kim Jisoo, just Kim Jisoo- Rosé's background in the beginning was just so    wow- Lisa's rap. Didn't know but I needed it- Jennie's outfit. No need to more- ""I kiss you goodbye"" , ""Badabim badaboum boum boum"" ""Now look at u now look at me""- 2:22- 2:32- 2:41What are youre favourite moments ?Edit: omg I didn't expected that much like, thank you so much!"
             First name Last name           ,45000.0,Just keep on hating. It'll never change the fact that Blackpink is the queen.
             Name Newest           ,7400.0,Jisoo so beautiful.
             Nicole Angulo           ,275.0,"VOTEN POR BLACKPINK EN LOS MAMA 2020 EN LAS CATEGORÍAS NOMINADAS, VAMOS!!!"
             ปฏิภาณ รุกขะวัฒน์           ,24000.0,We love BLACKPINK!
             Ruby H.           ,21000.0,Kim Jisoo nailed it
             Haechannie           ,100000.0,We have to drown the annoying “no one:” jokes with other comments                 Edit: since this has 1k thumbs up let me tell you to have a safe and good day blinks :)
             its BP           ,32000.0,BLACKPINK SUPERGROUP
             RM•• BTS           ,1900.0,Popular opinion: Everyone wants to SEE BLACKPINK in real life .
             Simp4lisaandtaeyong           ,12000.0,BLACKPINK REALLY KILLED EVERYONE ENDED KPOP DOMINATED THE WORLD AND SAID LOOK AT YOU NOW LOOK AT ME
