ID,Like,Comment
             Dr. Dream           ,327.0,"The best movie of 2019, definitely."
             Extreme Racist           ,298.0,Actually It was the most shocking movie I’ve ever seen.
             Wolverine101           ,75.0,"Seriously speaking, Parasite is going to be studied by film literally the next 50 years. This movie is absolutely amazing"
             Abinash Mohanty           ,299.0,I have loved every single minute of the movie.
             acLewBert           ,139.0,Best movie of the year. Easily.
             Roos Smit           ,150.0,"Parasite is a 10/10, i 100% agree. It's one of those few perfect movies and i think it's definitely going to be nominated for Best Picture, it might even win!!!"
             Monty Datta           ,167.0,best movie of 2019 so far!
             sfdko           ,96.0,If I can describe this movie in one statement...it's that it's metaphorical
             Eddy Arias           ,89.0,Those who haven't watched this movie will never believe how good and amazing it is.
             link           ,110.0,BEST MOVIE OF THE YEAR of maybe this DECADE
             Timothy           ,161.0,The best and the most cruel movie in 2019.
             Win Cup           ,60.0,"Three best pictures of Bong Joonho: Memories of Murder, Mother, and Parasite."
             Neth BT           ,16.0,I just adore someone who gave this movie a review prior to Oscars win
             PETBOY           ,40.0,director Bong Joon-ho is a genius. wrote and drew both the screenplay and the storyboard himself. The storyboard also lists movie camera settings.
             Bruno Ferreira           ,39.0,SPOILER WARNING:In the end I loved this movie!!
             samuel blachon           ,41.0,I was waiting for this review since i saw the movie in june
             S L           ,49.0,"Oscar, best picture of year should go to Parasite."
             cacaf           ,55.0,this is one of the best movies ever made is an understatement. This is the best movie ever made.
             bitlife70           ,8.0,"Since Parasite won the best picture at Oscar, it's about time you do a spoiler discussion I've been waiting for since October."
             Jeffrey Taddeo           ,10.0,"I loved this film!  It is too bad several of the actors didn't receive Oscar nominations.  Smart, creative and original film.  Without a doubt, it was the best film of 2019!"
             flawless mr           ,21.0,You can definitely make an argument for Parasite to be the film of decade. It's just this good. The details of this film are insane. Every single scene and screen shot are very well composed
             John Doe           ,31.0,You look like Scarlett Johansson
             Annex           ,48.0,"Bong Joon-Ho’s ‘Parasite’ rocked me to my core. This is one of the best films of the decade. Groundbreaking, trailblazing, meticulous, fearless, audacious, bold and beautiful filmmaking. A Korean specialty. It was a full house with a diverse group. Rarely have I been more invested, holding my bated breath, clenching my ass, bracing myself, racked with tension, suspense, and anticipation. Never knowing what was gonna happen next or how it was gonna unfold. No fair guessing. Nothing can prepare you for this experience. No, it’s not a geek show but a endlessly, deliriously inventive and wickedly entertaining commentary between the rich and poor. The class divide. The haves and have not. Victims of circumstance vs. privilege.Talk about first rate performances! Talk about pitch perfect casting! A flawless screenplay. Precise cinematography, editing, and art direction. Memorable score.I look for tone, mood, aesthetic and Soul (Seoul)(!). Bong is playing us like a piano and I love it!How refreshing to experience a film other than through American sensibilities. It is darkly hilarious, tragic, heartbreaking, deeply satirical, profound, thought provoking, and Devastating! Must be vague, but Jordan Peele meets Tarantino is fair. Get ready, you won’t be able to shake off this film easily, it surprised the hell outta me."
             Myo C           ,9.0,This movie keeps pulling me up all the way 😍 and let me think over and over after all ..!!
             Jessica Lee           ,17.0,"Absolute masterpiece of a film. The pure brilliance is in the execution as I cannot imagine how any other director besides Bong Joon-Ho could have made this film as good as it is. My favourite scene was when the Kim family had to return to their basement home to try save it from the rainstorm. It was so incredibly powerful. You could really sense and feel the hardships that these less fortunate people have to endure, whereas upper class citizens are just entirely oblivious to their struggles."
             Adnen Boultif           ,24.0,"Finally you watch it.... And yes this 2019 best movie, you can't miss it, a true masterpiece! Thanks for the review waiting for the spoiler review 🥰"
             BobbyBev95           ,12.0,"I was totally blown away by this movie! Definitely the best of the year, one of the best of the decade too. I’d love to hear you do a spoiler talk of the movie, and break down some themes."
             123rockfan           ,9.0,Bong Joon Ho would’ve made Joker a masterpiece
             Ruthless Goat           ,7.0,"A fantastic movie. Yes, best movie of the year. A perfect movie. Better than MoM."
             GoodOl' Sal           ,8.0,"Just watched it yesterday! I agree, definitely 10/10!!"
             Camila C.           ,6.0,Best picture of THE YEAR 👏🏼👏🏼👏🏼
             NallePu83           ,5.0,RESPECT!
             K LE           ,3.0,Watching this review after the Academy Awards win!  Hope to see this movie soon.
             cocojennful           ,12.0,"The son, the tutor, is the actor from “Train to Pusan!”  I loved him in it."
             Matthew Mertens           ,4.0,"I went in the theater having absolutely no idea what it was going to be about, so it was an amazing experience."
             Vanessa Laughtland           ,35.0,"Holy shit 10/10? Ugh this has gone way up on my watchlist now. No idea when we get it though, probs not until next year 😭"
             mufasa III           ,4.0,such an eloquent commentary. intelligent and insightful.
             Re’d           ,5.0,Watched it with my friends in a movie theater with no one else in the room. We have been waiting several months of it to release in US. The best movie of 2019 for sure.
             Replay           ,6.0,It should be acknowledged in the Best Original Score and Production Design field!!!! I was shocked when i heard that big mansion and poor family’s home are all set..
             Elias Rauch           ,17.0,The details in the movie are incredible! Great review.
             cesar infante           ,10.0,"Has anyone ever told you, you look like Scarlett Johansson in Marriage Story!?"
             Sylvain Démenti           ,8.0,Seen it!! Loved it!! I'm ready for the spoiler talk! 😛
             Fake Name           ,10.0,"My movie of the year. I love Joker, but this movie handles the same class themes in a more clever, and entertaining (it's hilarious), manner.I have Once Upon a Time in Hollywood, Midsommar, and Joker in a three way tie for second."
             Charles Bae           ,5.0,It was a good movie. Such a good act from all casts!
             지브이 - GV STUDIO           ,10.0,"As a Korean and aspiring movie director, I'm very proud of you, and thank you for reviewing the movie like this."
             Amanda Ford           ,3.0,Girl! Waiting on your spoiler discussion! There’s so much I want to hear and say about this film!
             vsh137           ,6.0,Just saw the movie.  I was impressed.  Your review is dead on.  Good job.
             H O           ,4.0,Watched it here in Korea this summer and absolutely loved it. Happy to see the humor and detail in this film working well with foreign audiences!
             이준영           ,2.0,best reviewer i've seen so far. really on point. btw.. love your hair
             Josh           ,6.0,Best of best for me
             Khue Lor           ,2.0,"Best film of 2019, easy!"
             artofnoise117           ,3.0,"There was also an article about how the rich and the poor understood and interpreted the movie differently, focusing on different details and conclusions"
             Ravi S           ,4.0,"You finally got to see it, glad you loved it too!"
             iElectric           ,3.0,Movie of the year. So good!
             RAG718           ,6.0,"never heard of the director,, hearing he's some big shot,, oh well ,,, co worker recommend this to me and I went to see it,, pretty good actually!"
