ID,Like,Comment
             개숙자           ,27.0,제발 줄었다는 뉴스 내보내지 말아주세요 이런뉴스보고 사람들 또 활보합니다--
             황구렁이뚤딸이           ,46.0,언론의 역할도 되게 중요한거 같습니다. 제목만 보면 코로나가 진정세인줄 알겠습니다. 400명대가 중요합니까 확진율이 3프로로 역대 최고점인데..
             허진혁           ,49.0,경제경제 거릴거면 기준왜만든건데 ㅋㅋ2.5단계 기준넘었으면 입 다물고 격상해라 버티지말고
             이민한           ,51.0,주말은 검사소 자체가 반이싱 쉰다
             박여진           ,16.0,빡세게 격상 시켜서 줄이던지 진짜 지치네늘었다 줄었다 계속 반복인데 늘기전에 조치 취하던지 했어야지
             신라면보다진라면           ,42.0,주말이라서 그렇겠지.. 평일에 한번 봐야 알듯확진자가 많이 줄어들었음 좋겠는데 ㅠㅠ(확진자수 어느정도 줄면 또 단계 내리겠지그러면 또 확진자 늘고 단계 올리고반복ㅋㅋㅋㅋ)
             Raeme Wu           ,43.0,방역잘했다고 자랑질 그만합시다100명 이하로 줄어야안심이되지그리고 코로나 치료제 말만 계속 떠들어대고정말 지치네요
             주녀니           ,48.0,"엊그제 22000명, 500명, 어제 14000명, 450명 / 단순 비율 계산을 하더라도 280명이 나와야함 근데 450명임.. 비율계산하면 700이 넘음"
             참견의정도           ,22.0,쩜오말고 그냥 3단계로 빡세게 ㄱ
             BJ칼빵           ,40.0,겨우 50명 줄어든 거 가지고 호들갑 떠냐? 100명 이상 줄어야지
             다시보기           ,5.0,ㅋㅋ몇날 몇일째 같은말뿐임 ㅋㅋ 하루만에 ~ 이틀만에 ~ 나흘만에 아래로 ~ 주말검사가 적어 ~ 이거만 몇개월째 하고있냐 3단계 쳐 올리라고 ㅋㅋ
             국지호           ,15.0,응 주말~~ 내일부터 다시 500명대로~~ㅅㄱ
             vsda dva           ,14.0,"확진자 450인데 검사건수가 14968 확진률 3.01%어제 확진자 504인데 검사건수 22442 확진률 2.25% 검사수 늘렸으면 5,6백명대 그냥 나왔겠네요"
